Nivel_Optimizacion, T_popcount1, T_popcount2, T_popcount3, T_popcount4, T_popcount5, T_popcount6, T_popcount7, T_popcount8, T_popcount9, T_popcount10
O2,13888,5535,7033,10027,2958,1544,879,280,331,219,
Og,14440,11114,8754,6716,3512,1715,991,267,322,219,
O0,53147,27258,7916,7306,13657,4920,2619,564,1847,628,
O1,14974,8341,7078,8777,2995,1735,966,268,438,218,
O2,13830,5560,7402,6724,2992,1556,895,281,329,221,
Og,14458,5645,8760,6712,3502,1689,980,266,321,219,
O0,53316,27270,7863,7246,13593,4865,2488,483,1806,550,
O1,15005,7692,7125,8810,2999,1692,952,267,456,244,
O2,13851,5549,7045,6694,2958,1544,881,282,326,219,
Og,14537,5606,8759,6708,3503,1702,994,269,321,219,
O0,53205,27280,10579,7208,13596,4865,2486,493,1805,564,
O1,15025,8121,7051,8775,2998,1709,979,284,440,219,
O2,13977,5705,7085,6701,2962,1549,881,285,325,218,
Og,14450,5616,8770,6693,3502,1697,987,266,321,219,
O0,52904,27259,7934,7277,13726,4877,2531,482,1803,550,
O1,14943,8339,7074,8777,2995,1685,951,267,439,219,
O2,13823,5513,7019,6667,2961,1537,877,281,327,231,
Og,14446,5626,8749,6692,3507,1698,987,267,322,219,
O0,52382,27535,11657,7214,13594,4861,2490,483,1809,551,
O1,15067,7220,7064,8786,2958,1686,952,266,437,219,
O2,13947,5562,7051,6670,2964,1550,879,280,327,219,
Og,14438,6914,8745,6676,3502,1689,986,266,321,219,
O0,52406,28213,7887,7236,13594,4888,2508,488,1809,550,
O1,15047,8319,7054,8777,2999,1684,954,266,437,218,
O2,13880,5542,7039,6708,2967,1548,880,281,325,218,
Og,14464,5613,8762,6698,3502,1710,985,266,321,219,
O0,52369,28206,7910,7252,13601,4898,2515,488,1811,549,
O1,15029,8357,7158,8828,3057,1803,1029,344,476,229,
O2,13859,5553,7079,6672,2959,1550,882,280,325,218,
Og,14449,5613,8742,6715,3502,1715,991,266,332,242,
O0,52455,27376,7916,11296,13656,4938,2517,493,1812,552,
O1,14991,8355,7062,8777,3000,1697,964,266,436,218,
O2,13807,5562,7025,6687,2962,1546,880,301,350,243,
Og,14511,5682,8835,6781,3565,1749,1044,373,408,300,
O0,52696,29263,7903,7243,13587,4888,2508,488,1799,552,
O1,12900,8353,7099,8865,3012,1701,960,267,440,219,
O2,13785,5580,7053,6699,2977,1557,895,284,326,219,
Og,14475,5618,8748,6686,3503,1689,984,268,322,219,
O0,52521,27254,7881,7238,13592,4883,2490,486,1793,549,
O1,14962,10294,7075,8784,2983,1700,958,267,437,219,
O2,13740,5560,7045,6665,2957,1540,878,281,325,218,
Og,14440,9491,8746,6683,3504,1688,979,267,322,221,
O0,52537,28690,7876,7239,13589,4896,2507,487,1801,550,
O1,14928,8536,7113,11053,3035,1760,1014,345,457,224,
O2,13911,5579,7067,6688,2957,1551,883,279,327,219,
Og,14442,8844,8749,6692,3506,1698,985,276,322,219,
O0,52447,27252,7875,7205,13592,4860,2488,481,1810,550,
O1,14906,8320,7100,8784,2996,1706,971,268,437,218,
O2,13847,5570,7064,6686,2978,1553,883,280,325,218,
Og,14441,5593,8742,6681,3502,1694,978,266,321,219,
O0,53068,27239,7867,7273,13671,4940,2610,564,1863,593,
O1,15086,6761,7132,8838,3028,1742,1013,335,456,243,
O2,13989,5601,7086,6754,3013,1602,952,329,341,237,
Og,14508,5683,8819,6754,3529,1698,984,267,322,226,
O0,53369,27716,7884,7231,13594,4861,2498,484,1804,551,
O1,14937,7174,7169,8820,3060,1744,971,267,437,218,
O2,13795,5514,7020,6708,2958,1555,882,280,324,219,
Og,14447,5609,8744,6706,3502,1709,991,267,321,222,
O0,52449,28895,7878,7257,13585,4927,2532,497,1801,691,
O1,14816,7140,7072,8783,2987,1695,958,267,437,218,
O2,13724,5538,7041,7502,3014,1811,1024,371,377,234,
Og,14455,7092,8751,6721,3504,1710,991,266,321,219,
O0,53066,27259,7882,7260,13593,4858,2489,486,1815,551,
O1,15000,10104,7099,8795,2959,1684,951,265,440,219,
O2,13775,5550,7050,6670,2962,1544,889,281,325,222,
Og,14524,6644,8803,6756,3554,1753,995,268,324,220,
O0,53002,27262,7912,7219,13848,4886,2510,500,1808,549,
O1,15024,8328,7056,8775,2993,1707,966,268,437,219,
O2,13763,5546,7048,6687,2964,1554,883,282,326,219,
Og,14432,6945,8743,6681,3502,1688,980,266,320,218,
O0,53173,27562,7949,7355,13681,4897,2555,500,1808,550,
O1,15001,8343,7105,10863,3091,1781,999,304,439,227,
O2,14017,5565,7052,6679,2962,1544,892,280,326,219,
Og,14484,5650,8764,6689,3510,1689,987,269,321,219,
O0,53015,28889,7885,7516,13618,4877,2490,482,1801,551,
O1,14861,8333,7094,8778,2991,1706,965,268,438,219,
O2,13875,5585,7076,6742,2976,1575,885,283,326,219,
Og,14521,5704,8767,6743,3511,1688,979,270,321,219,
O0,53199,29813,8497,8134,13996,4941,2532,492,1936,599,
O1,14847,8327,7091,8799,2996,1704,970,269,437,219,
O2,13878,5572,7034,6753,3018,1597,890,281,326,219,
Og,14477,5613,8750,6717,3511,1723,979,268,322,219,
O0,52496,27300,7937,7260,13599,5016,2578,527,1814,551,
O1,15034,7121,7095,8786,2996,1685,953,268,441,219,
O2,13821,5522,7042,6687,2958,1536,882,280,324,219,
Og,14463,5601,8750,6690,3507,1700,992,268,322,219,
O0,52494,29200,7875,10464,13639,4897,2502,495,1803,581,
O1,14952,8335,8359,9558,3012,1768,1028,359,462,233,
O2,13865,5602,7074,6745,3008,1620,959,387,363,235,
Og,14467,5653,8747,6699,3503,1722,991,266,321,219,
O0,53000,27466,7926,7299,13595,4869,2530,495,1813,554,
O1,14874,8321,7080,8774,2994,1695,960,267,438,219,
O2,13902,5551,7032,6669,2962,1547,881,281,325,218,
Og,14457,6939,8747,6696,3541,1762,1025,306,339,225,
O0,53185,27407,7880,9302,13579,4929,2526,495,1798,551,
O1,14842,8252,7084,8777,2987,1694,957,267,463,219,
O2,13863,5524,7033,6748,3006,1598,943,370,371,251,
